notes,,,,,,,
"Original raw measurements were lost. The values below are the synthetic seed used by tc1/train_velocity.c when no fresh measurement is available.",,,,,,,
"Recovered datums (driving the fit):",,,,,,,
"  - one lap of track A = 4894 mm",,,,,,,
"  - lap time at speed 10 = 14.16 s avg  (=> ~346 mm/s)",,,,,,,
"  - stopping distance at speed 5, train 1 = 300..470 mm  (using 175 mm avg vel, 175 mm stop)",,,,,,,
"  - stopping distance at speed 10, train 1 = 480 mm",,,,,,,
"  - stopping distance at speed 10, train 77 = 660 mm (mean of 610/663/670)",,,,,,,
,,,,,,,
nominal velocity table (mm/s),,,,,,,
speed,mm_per_s,,,,,,
0,0,,,,,,
1,30,,,,,,
2,60,,,,,,
3,95,,,,,,
4,135,,,,,,
5,175,,,,,,
6,220,,,,,,
7,265,,,,,,
8,305,,,,,,
9,335,,,,,,
10,350,,,,,,
11,380,,,,,,
12,410,,,,,,
13,440,,,,,,
14,470,,,,,,
,,,,,,,
nominal stopping distance (mm),,,,,,,
speed,stop_mm,,,,,,
0,0,,,,,,
1,8,,,,,,
2,25,,,,,,
3,55,,,,,,
4,105,,,,,,
5,175,,,,,,
6,255,,,,,,
7,335,,,,,,
8,400,,,,,,
9,450,,,,,,
10,480,,,,,,
11,560,,,,,,
12,640,,,,,,
13,720,,,,,,
14,800,,,,,,
,,,,,,,
per-train multipliers (percent of nominal),,,,,,,
train,vel_pct,stop_pct,,,,,
1,100,100,,,,,
24,95,105,,,,,
47,90,110,,,,,
48,100,100,,,,,
49,102,98,,,,,
50,105,95,,,,,
58,93,108,,,,,
77,100,138,,,,,
78,98,102,,,,,
